,epoch,loss,val_loss,ivw,evw,ivw_ann,s_loss
0,1.0,1275329.9,1231532.5,47320.17,47307.094,161.2823,0.0
1,2.0,165955.1,132142.47,55664.035,55645.35,1141.719,0.0
2,3.0,20560.266,48998.863,30262.92,30257.896,2578.068,0.0
3,4.0,32560.072,30474.955,53256.992,53238.28,3792.8481,0.0
4,5.0,22469.088,21403.352,53383.566,53364.957,4706.8096,0.0
5,6.0,8139.764,16233.103,33133.152,33125.492,4613.257,0.0
6,7.0,10832.859,12718.1,48566.28,48552.324,6437.19,0.0
7,8.0,7494.054,10330.57,46130.207,46117.695,7209.4287,0.0
8,9.0,6796.9697,8354.727,48059.418,48045.316,8081.7725,0.0
9,10.0,7594.0664,6973.4414,56654.477,56635.15,8945.68,0.0
10,11.0,6313.7715,5839.75,55945.363,55926.06,9950.239,0.0
11,12.0,5320.491,4869.149,56161.43,56142.344,11034.776,0.0
12,13.0,3825.484,3892.287,53727.703,53709.082,12747.244,0.0
13,14.0,4343.63,3328.404,67202.445,67177.586,16597.799,0.0
14,15.0,2892.8418,2838.2166,53798.117,53779.1,15492.653,0.0
15,16.0,1185.8871,2418.406,33133.15,33125.492,13735.935,0.0
16,17.0,2100.1216,2052.9844,53245.125,53226.31,18521.203,0.0
17,18.0,715.36804,1767.5848,30078.768,30073.943,16083.318,0.0
18,19.0,1796.4375,1516.72,56458.785,56439.6,21377.703,0.0
19,20.0,1068.7327,1319.3563,46281.523,46268.73,23191.605,0.0
20,21.0,1001.84247,1147.3661,48034.945,48020.58,25258.193,0.0
21,22.0,1056.8754,1002.027,53073.566,53055.035,27268.152,0.0
22,23.0,363.7753,885.9108,30034.113,30029.316,22854.451,0.0
23,24.0,677.38684,773.0106,48108.598,48094.3,31098.273,0.0
24,25.0,283.0015,685.8643,29936.83,29931.863,26006.465,0.0
25,26.0,637.1689,598.7242,53765.668,53746.395,35773.047,0.0
26,27.0,739.93384,526.86816,67722.44,67697.234,45313.492,0.0
27,28.0,413.58667,469.83463,48518.26,48503.74,39852.156,0.0
28,29.0,367.9745,415.1649,48449.24,48434.742,41839.395,0.0
29,30.0,486.56766,368.94293,64991.363,64968.47,52249.137,0.0
30,31.0,296.8763,326.83875,49108.94,49094.184,46441.355,0.0
31,32.0,285.69296,289.66074,50956.113,50939.35,48684.234,0.0
