,epoch,loss,val_loss,ivw,evw,ivw_ann
0,1.0,0.0010566049,4.5474114,600776.8,600895.2,600873.56
1,2.0,0.0015292166,1.248577,600776.8,600895.1,600897.3
2,3.0,0.0043994617,1.9580885,600776.8,600895.1,600917.5
3,4.0,0.008126345,1.6117145,600776.75,600895.2,601053.0
4,5.0,0.015786476,9.823944,600776.75,600895.06,600880.3
5,6.0,0.0088295555,0.7916522,600776.8,600895.1,600997.44
6,7.0,0.004012361,0.50704306,600776.75,600895.06,600878.44
7,8.0,0.004920301,4.719769,600776.75,600895.1,600989.06
8,9.0,0.0046764775,4.78036,600776.8,600895.1,600936.06
9,10.0,0.004275154,2.7599113,600776.75,600895.2,601012.06
10,11.0,0.003621662,2.226637,600776.75,600895.1,600911.7
11,12.0,0.0042109364,4.887686,600776.75,600895.1,600963.8
12,13.0,0.0071126097,0.78804964,600776.75,600895.1,600984.5
13,14.0,0.0037569262,1.2247437,600776.75,600895.06,600957.3
14,15.0,0.0043769274,1.1580831,600776.75,600895.1,600854.2
15,16.0,0.0038183976,1.1598082,600776.8,600895.06,600971.3
16,17.0,0.011857343,1.9658273,600776.7,600895.1,600917.56
17,18.0,0.0054486445,2.299021,600776.8,600895.1,600908.7
18,19.0,0.68781465,1.0143994,600776.75,600895.2,600968.06
19,20.0,0.0042867507,1.0935549,600776.8,600895.06,600851.8
20,21.0,0.003397528,1.6363605,600776.7,600895.1,600946.75
21,22.0,0.004089134,1.2442244,600776.75,600895.06,600980.3
22,23.0,0.00402912,5.233848,600776.8,600895.1,600902.94
23,24.0,0.06238201,0.95765203,600776.75,600895.06,600883.94
24,25.0,0.0048370254,4.2198195,600776.8,600895.1,600895.2
25,26.0,0.004674017,3.0308998,600776.75,600895.1,601020.0
26,27.0,0.007660445,4.150683,600776.75,600895.2,600984.3
27,28.0,0.008318455,1.7500173,600776.8,600895.1,600926.2
28,29.0,0.005661322,25.1056,600776.75,600895.1,600885.44
29,30.0,0.0041460595,0.97351,600776.75,600895.2,600902.5
30,31.0,0.0057139248,1.769031,600776.75,600895.06,600960.94
31,32.0,0.010036725,3.913739,600776.75,600895.1,601015.5
32,33.0,0.02344884,15.115731,600776.75,600895.1,600982.0
33,34.0,0.0061725886,2.25889,600776.75,600895.1,600903.7
34,35.0,0.008467545,6.601837,600776.8,600895.1,600967.44
35,36.0,0.8289247,2.7933903,600776.8,600895.1,600906.7
36,37.0,0.0064944774,2.58978,600776.75,600895.1,600815.2
37,38.0,0.006252607,1.8313223,600776.8,600895.1,600912.5
38,39.0,0.010737236,3.1509075,600776.75,600895.06,600961.4
39,40.0,0.0047398144,1.7171415,600776.75,600895.2,600958.2
